"ID","영문식별자(Key)","기술명(한국어)","기술명(영어)","타입(Type)","분류(Category)","위력(Power)","명중률(Accuracy)","기본PP","한국어설명(Description Ko)","영어설명(Description En)"
"394","flare-blitz","플레어드라이브","flare-blitz","fire","physical","120","100","15","불꽃을 두르고 돌진한다. 자신도 상당한 데미지를 입는다. 화상 상태로 만들 때가 있다.","Has a 10% chance to burn the target. If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP."
"395","force-palm","발경","force-palm","fighting","physical","60","100","10","상대의 몸에 충격파를 부딪쳐 공격한다. 마비 상태로 만들 때가 있다.","Has a 30% chance to paralyze the target."
"396","aura-sphere","파동탄","aura-sphere","fighting","special","80","","20","몸속에서 파동의 힘을 끌어내 쏜다. 공격은 반드시 명중한다.","This move does not check accuracy."
"397","rock-polish","록커트","rock-polish","rock","status","","","20","자신의 몸을 갈아 공기의 저항을 적게 한다. 스피드를 크게 올릴 수 있다.","Raises the user's Speed by 2 stages."
"398","poison-jab","독찌르기","poison-jab","poison","physical","80","100","20","독에 물든 촉수나 팔로 상대를 꿰찌른다. 독 상태로 만들 때가 있다.","Has a 30% chance to poison the target."
"399","dark-pulse","악의파동","dark-pulse","dark","special","80","100","15","몸에서 악의로 가득한 무서운 오라를 발한다. 상대를 풀죽게 만들 때가 있다.","Has a 20% chance to make the target flinch."
"400","night-slash","깜짝베기","night-slash","dark","physical","70","100","15","순간적으로 틈을 노려 상대를 베어 버린다. 급소에 맞기 쉽다.","Has a higher chance for a critical hit."
"401","aqua-tail","아쿠아테일","aqua-tail","water","physical","90","90","10","세차게 날뛰는 거친 파도와 같이 큰 꼬리를 흔들어서 상대를 공격한다.","No additional effect."
"402","seed-bomb","씨폭탄","seed-bomb","grass","physical","80","100","15","단단한 껍질을 가지고 있는 큰 씨앗을 힘껏 내던져 상대를 공격한다.","No additional effect."
"403","air-slash","에어슬래시","air-slash","flying","special","75","95","15","하늘까지 베어 가르는 공기의 칼날로 공격한다. 상대를 풀죽게 만들 때가 있다.","Has a 30% chance to make the target flinch."
"404","x-scissor","시저크로스","x-scissor","bug","physical","80","100","15","낫이나 발톱을 가위처럼 교차시키면서 상대를 베어 가른다.","No additional effect."
"405","bug-buzz","벌레의야단법석","bug-buzz","bug","special","90","100","10","날개의 진동으로 음파를 일으켜서 공격한다. 상대의 특수방어를 떨어뜨릴 때가 있다.","Has a 10% chance to lower the target's Special Defense by 1 stage."
"406","dragon-pulse","용의파동","dragon-pulse","dragon","special","85","100","10","큰 입으로 충격파를 일으켜서 상대를 공격한다.","No additional effect."
"407","dragon-rush","드래곤다이브","dragon-rush","dragon","physical","100","75","10","굉장한 살기로 위압하면서 몸통박치기한다. 상대를 풀죽게 만들 때가 있다.","Has a 20% chance to make the target flinch. Damage doubles and no accuracy check is done if the target has used Minimize while active."
"408","power-gem","파워젬","power-gem","rock","special","80","100","20","보석처럼 반짝이는 빛을 발사하여 상대를 공격한다.","No additional effect."
"409","drain-punch","드레인펀치","drain-punch","fighting","physical","75","100","10","주먹으로 상대의 힘을 흡수한다. 입힌 데미지의 절반에 해당하는 HP를 회복할 수 있다.","The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"410","vacuum-wave","진공파","vacuum-wave","fighting","special","40","100","30","주먹을 흔들어 진공의 파도를 일으킨다. 반드시 선제공격을 할 수 있다.","No additional effect."
"411","focus-blast","기합구슬","focus-blast","fighting","special","120","70","5","기합을 높여서 혼신의 힘을 방출한다. 상대의 특수방어를 떨어뜨릴 때가 있다.","Has a 10% chance to lower the target's Special Defense by 1 stage."
"412","energy-ball","에너지볼","energy-ball","grass","special","90","100","10","자연으로부터 모은 생명의 힘을 발사한다. 상대의 특수방어를 떨어뜨릴 때가 있다.","Has a 10% chance to lower the target's Special Defense by 1 stage."
"413","brave-bird","브레이브버드","brave-bird","flying","physical","120","100","15","날개를 접어 저공비행으로 돌격한다. 자신도 상당한 데미지를 입는다.","If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP."
"414","earth-power","대지의힘","earth-power","ground","special","90","100","10","상대의 발밑에 대지의 힘을 방출한다. 상대의 특수방어를 떨어뜨릴 때가 있다.","Has a 10% chance to lower the target's Special Defense by 1 stage."
"415","switcheroo","바꿔치기","switcheroo","dark","status","","100","10","눈에 보이지 않는 속도로 자신과 상대가 지닌 물건을 교환한다.","The user swaps its held item with the target's held item. Fails if both the user and the target have no held item, or if the user is trying to give or take a Blue Orb, Red Orb, Adamant Crystal, Lustrous Globe, Griseous Core, Plate, Drive, Memory, Rusted Sword, Rusted Shield, Booster Energy, or Mask to or from a Kyogre, Groudon, Dialga, Palkia, Giratina, Arceus, Genesect, Silvally, Zacian, Zamazenta, Paradox Pokemon, or Ogerpon, respectively. In this case, Paradox Pokemon include every species with the Protosynthesis and Quark Drive Abilities, except Gouging Fire, Raging Bolt, Iron Boulder, and Iron Crown. The target is immune to this move if it has the Sticky Hold Ability."
"416","giga-impact","기가임팩트","giga-impact","normal","physical","150","90","5","가진 힘을 모두 사용해서 상대에게 돌격한다. 다음 턴은 움직일 수 없다.","If this move is successful, the user must recharge on the following turn and cannot select a move."
"417","nasty-plot","나쁜음모","nasty-plot","dark","status","","","20","나쁜 일을 생각해서 머리를 활성화시킨다. 자신의 특수공격을 크게 올린다.","Raises the user's Special Attack by 2 stages."
"418","bullet-punch","불릿펀치","bullet-punch","steel","physical","40","100","30","탄환처럼 빠르고 단단한 펀치를 상대에게 날린다. 반드시 선제공격을 할 수 있다.","No additional effect."
"419","avalanche","눈사태","avalanche","ice","physical","60","100","10","상대로부터 기술을 받으면 그 상대에 대해서 기술의 위력이 2배가 된다.","Power doubles if the user was hit by the target this turn."
"420","ice-shard","얼음뭉치","ice-shard","ice","physical","40","100","30","얼음 덩어리를 순식간에 만들어 상대에게 빠르게 쏜다. 반드시 선제공격을 할 수 있다.","No additional effect."
"421","shadow-claw","섀도클로","shadow-claw","ghost","physical","70","100","15","그림자로 만든 날카로운 발톱으로 상대를 베어 가른다. 급소에 맞기 쉽다.","Has a higher chance for a critical hit."
"422","thunder-fang","번개엄니","thunder-fang","electric","physical","65","95","15","전기를 모은 이빨로 문다. 상대를 풀죽게 하거나 마비 상태로 만들 때가 있다.","Has a 10% chance to paralyze the target and a 10% chance to make it flinch."
"423","ice-fang","얼음엄니","ice-fang","ice","physical","65","95","15","냉기를 품은 이빨로 문다. 상대를 풀죽게 하거나 얼음 상태로 만들 때가 있다.","Has a 10% chance to freeze the target and a 10% chance to make it flinch."
"424","fire-fang","불꽃엄니","fire-fang","fire","physical","65","95","15","불꽃을 두른 이빨로 문다. 상대를 풀죽게 하거나 화상 상태로 만들 때가 있다.","Has a 10% chance to burn the target and a 10% chance to make it flinch."
"425","shadow-sneak","야습","shadow-sneak","ghost","physical","40","100","30","그림자를 늘려 상대의 배후에서 공격한다. 반드시 선제공격할 수 있다.","No additional effect."
"426","mud-bomb","진흙폭탄","mud-bomb","ground","special","65","85","10","단단한 진흙구슬을 상대에게 발사하여 공격한다. 명중률을 떨어뜨릴 때가 있다.","Has a 30% chance to lower the target's accuracy by 1 stage."
"427","psycho-cut","사이코커터","psycho-cut","psychic","physical","70","100","20","실체화시킨 마음의 칼날로 상대를 베어 가른다. 급소에 맞기 쉽다.","Has a higher chance for a critical hit."
"428","zen-headbutt","사념의박치기","zen-headbutt","psychic","physical","80","90","15","사념의 힘을 이마에 모아서 공격한다. 상대를 풀죽게 만들 때가 있다.","Has a 20% chance to make the target flinch."
"429","mirror-shot","미러샷","mirror-shot","steel","special","65","85","10","갈고 닦은 몸에서 섬광의 힘을 상대에게 쏜다. 명중률을 떨어뜨릴 때가 있다.","Has a 30% chance to lower the target's accuracy by 1 stage."
"430","flash-cannon","러스터캐논","flash-cannon","steel","special","80","100","10","몸의 빛을 한곳에 모아서 힘을 쏜다. 상대의 특수방어를 떨어뜨릴 때가 있다.","Has a 10% chance to lower the target's Special Defense by 1 stage."
"431","rock-climb","록클라임","rock-climb","normal","physical","90","85","20","굉장한 기세로 상대에게 돌진하여 공격한다. 상대를 혼란시킬 때가 있다.","Has a 20% chance to confuse the target."
"432","defog","안개제거","defog","flying","status","","","15","강한 바람으로 상대의 리플렉터나 빛의장막 등을 제거한다. 회피율도 떨어뜨린다.","Lowers the target's evasiveness by 1 stage. If this move is successful and whether or not the target's evasiveness was affected, the effects of Reflect, Light Screen, Aurora Veil, Safeguard, Mist, Spikes, Toxic Spikes, Stealth Rock, and Sticky Web end for the target's side, and the effects of Spikes, Toxic Spikes, Stealth Rock, and Sticky Web end for the user's side. Ignores a target's substitute, although a substitute will still block the lowering of evasiveness. If there is a terrain active and this move is successful, the terrain will be cleared."
"433","trick-room","트릭룸","trick-room","psychic","status","","","5","이상한 공간을 만든다. 5턴 동안 느린 포켓몬부터 행동할 수 있다.","For 5 turns, the Speed of every Pokemon is recalculated for the purposes of determining turn order. During the effect, each Pokemon's Speed is considered to be (10000 - its normal Speed), and if this value is greater than 8191, 8192 is subtracted from it. If this move is used during the effect, the effect ends."
"434","draco-meteor","용성군","draco-meteor","dragon","special","130","90","5","천공에서 운석을 상대에게 떨어뜨린다. 사용하면 반동으로 자신의 특수공격이 크게 떨어진다.","Lowers the user's Special Attack by 2 stages."
"435","discharge","방전","discharge","electric","special","80","100","15","눈부신 전격으로 자신의 주위에 있는 포켓몬을 공격한다. 마비 상태로 만들 때가 있다.","Has a 30% chance to paralyze the target."
"436","lava-plume","분연","lava-plume","fire","special","80","100","15","새빨간 불꽃으로 자신의 주위에 있는 포켓몬을 공격한다. 화상 상태로 만들 때가 있다.","Has a 30% chance to burn the target."
"437","leaf-storm","리프스톰","leaf-storm","grass","special","130","90","5","뾰족한 잎사귀로 상대에게 바람을 일으킨다. 사용하면 반동으로 자신의 특수공격이 크게 떨어진다.","Lowers the user's Special Attack by 2 stages."
"438","power-whip","파워휩","power-whip","grass","physical","120","85","10","덩굴이나 촉수를 세차게 흔들어 상대를 힘껏 쳐서 공격한다.","No additional effect."
"439","rock-wrecker","암석포","rock-wrecker","rock","physical","150","90","5","거대한 바위를 상대에게 발사하여 공격한다. 다음 턴은 움직일 수 없게 된다.","If this move is successful, the user must recharge on the following turn and cannot select a move."
"440","cross-poison","크로스포이즌","cross-poison","poison","physical","70","100","20","독 칼날로 상대를 베어 가른다. 독 상태로 만들 때가 있고 급소에도 맞기 쉽다.","Has a 10% chance to poison the target and a higher chance for a critical hit."
"441","gunk-shot","더스트슈트","gunk-shot","poison","physical","120","80","5","더러운 쓰레기를 상대에게 부딪쳐서 공격한다. 독 상태로 만들 때가 있다.","Has a 30% chance to poison the target."
"442","iron-head","아이언헤드","iron-head","steel","physical","80","100","15","강철과 같은 단단한 머리로 공격한다. 상대를 풀죽게 만들 때가 있다.","Has a 30% chance to make the target flinch."
"443","magnet-bomb","마그넷봄","magnet-bomb","steel","physical","60","","20","상대에게 달라붙는 강철의 폭탄을 발사한다. 공격은 반드시 명중한다.","This move does not check accuracy."
"444","stone-edge","스톤에지","stone-edge","rock","physical","100","80","5","뾰족한 바위를 상대에게 꿰찔러서 공격한다. 급소에 맞기 쉽다.","Has a higher chance for a critical hit."
"445","captivate","유혹","captivate","normal","status","","100","20","수컷은 암컷을 암컷은 수컷을 유혹하여 상대의 특수공격을 크게 떨어뜨린다.","Lowers the target's Special Attack by 2 stages. The target is unaffected if both the user and the target are the same gender, or if either is genderless. Pokemon with the Oblivious Ability are immune."
"446","stealth-rock","스텔스록","stealth-rock","rock","status","","","20","상대의 주위에 무수한 바위를 띄워 교체해서 나온 상대 포켓몬에게 데미지를 준다.","Sets up a hazard on the opposing side of the field, damaging each opposing Pokemon that switches in. Fails if the effect is already active on the opposing side. Foes lose 1/32, 1/16, 1/8, 1/4, or 1/2 of their maximum HP, rounded down, based on their weakness to the Rock type; 0.25x, 0.5x, neutral, 2x, or 4x, respectively. Can be removed from the opposing side if any Pokemon uses Tidy Up, or if any opposing Pokemon uses Mortal Spin, Rapid Spin, or Defog successfully, or is hit by Defog."
"447","grass-knot","풀묶기","grass-knot","grass","special","","100","20","풀을 휘감아서 상대를 쓰러뜨린다. 상대가 무거울수록 위력이 올라간다.","This move's power is 20 if the target weighs less than 10 kg, 40 if less than 25 kg, 60 if less than 50 kg, 80 if less than 100 kg, 100 if less than 200 kg, and 120 if greater than or equal to 200 kg."
"448","chatter","수다","chatter","flying","special","65","100","20","기억한 말로 음파를 일으켜서 공격한다. 상대를 혼란시킨다.","Has a 100% chance to confuse the target."
"449","judgment","심판의뭉치","judgment","normal","special","100","100","10","무수한 광탄을 상대에게 방출한다. 자신이 가지고 있는 플레이트에 따라 타입이 바뀐다.","This move's type depends on the user's held Plate."
"450","bug-bite","벌레먹기","bug-bite","bug","physical","60","100","20","물어서 공격한다. 상대가 나무열매를 지니고 있을 때 먹어서 나무열매의 효과를 받을 수 있다.","If this move is successful and the user has not fainted, it steals the target's held Berry if it is holding one and eats it immediately, gaining its effects even if the user's item is being ignored. Items lost to this move cannot be regained with Recycle or the Harvest Ability."
"451","charge-beam","차지빔","charge-beam","electric","special","50","90","10","전격의 다발을 상대에게 발사한다. 전기를 모아서 자신의 특수공격을 올릴 때가 있다.","Has a 70% chance to raise the user's Special Attack by 1 stage."
"452","wood-hammer","우드해머","wood-hammer","grass","physical","120","100","15","단단한 몸통을 상대에게 부딪쳐서 공격한다. 자신도 상당한 데미지를 입는다.","If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP."
"453","aqua-jet","아쿠아제트","aqua-jet","water","physical","40","100","20","눈에 보이지 않는 굉장한 속도로 상대에게 돌진한다. 반드시 선제공격할 수 있다.","No additional effect."
"454","attack-order","공격지령","attack-order","bug","physical","90","100","15","부하를 불러내어 상대를 향해서 공격시킨다. 급소에 맞기 쉽다.","Has a higher chance for a critical hit."
"455","defend-order","방어지령","defend-order","bug","status","","","10","부하를 불러내어 자신의 몸을 뒤덮게 한다. 방어와 특수방어를 올릴 수 있다.","Raises the user's Defense and Special Defense by 1 stage."
"456","heal-order","회복지령","heal-order","bug","status","","","10","부하를 불러내어 상처를 회복한다. 최대 HP의 절반만큼 자신의 HP를 회복한다.","The user restores 1/2 of its maximum HP, rounded half up."
"457","head-smash","양날박치기","head-smash","rock","physical","150","80","5","목숨을 걸고 혼신의 힘으로 상대에게 박치기를 한다. 자신도 굉장한 데미지를 입는다.","If the target lost HP, the user takes recoil damage equal to 1/2 the HP lost by the target, rounded half up, but not less than 1 HP."
"458","double-hit","더블어택","double-hit","normal","physical","35","90","10","꼬리 등을 써서 상대를 때려 공격한다. 2회 연속으로 데미지를 준다.","Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit."
"459","roar-of-time","시간의포효","roar-of-time","dragon","special","150","90","5","시간이 뒤틀릴 정도의 힘을 사용해서 상대를 공격한다. 다음 턴은 움직일 수 없다.","If this move is successful, the user must recharge on the following turn and cannot select a move."
"460","spacial-rend","공간절단","spacial-rend","dragon","special","100","95","5","주위의 공간과 더불어 상대를 찢어서 데미지를 준다. 급소에 맞기 쉽다.","Has a higher chance for a critical hit."
"461","lunar-dance","초승달춤","lunar-dance","psychic","status","","","10","자신은 기절하지만 교대하여 나오는 포켓몬의 모든 상태를 회복한다.","The user faints, and if the Pokemon brought out to replace it does not have full HP or PP, or has a non-volatile status condition, its HP and PP are fully restored along with having any non-volatile status condition cured. The replacement is sent out at the end of the turn, and the healing happens before hazards take effect. This effect continues until a Pokemon that meets any of these conditions switches in at the user's position or gets swapped into the position with Ally Switch. Fails if the user is the last unfainted Pokemon in its party."
"462","crush-grip","묵사발","crush-grip","normal","physical","","100","5","굉장한 힘으로 상대를 묵사발로 만든다. 상대의 HP가 남아 있을수록 위력이 올라간다.","Power is equal to 120 * (target's current HP / target's maximum HP), rounded half down, but not less than 1."
"463","magma-storm","마그마스톰","magma-storm","fire","special","100","75","5","세차게 타오르는 불꽃 속에 4-5턴 동안 상대를 가두어 공격한다.","Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"464","dark-void","다크홀","dark-void","dark","status","","50","10","암흑의 세계로 끌고 가서 떨어뜨려 상대를 잠듦 상태로 만든다.","Causes the target to fall asleep. This move cannot be used successfully unless the user's current form, while considering Transform, is Darkrai."
"465","seed-flare","시드플레어","seed-flare","grass","special","120","85","5","몸속에서 충격파를 발생시킨다. 상대의 특수방어를 크게 떨어뜨릴 때가 있다.","Has a 40% chance to lower the target's Special Defense by 2 stages."
"466","ominous-wind","괴상한바람","ominous-wind","ghost","special","60","100","5","소름이 끼칠 만한 돌풍으로 상대를 공격한다. 자신의 모든 능력이 올라갈 때가 있다.","Has a 10% chance to raise the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage."
"467","shadow-force","섀도다이브","shadow-force","ghost","physical","120","100","5","1턴째에 모습을 감춰 2턴째에 상대를 공격한다. 방어하고 있어도 공격은 맞는다.","If this move is successful, it breaks through the target's Baneful Bunker, Detect, King's Shield, Protect, or Spiky Shield for this turn, allowing other Pokemon to attack the target normally. If the target's side is protected by Crafty Shield, Mat Block, Quick Guard, or Wide Guard, that protection is also broken for this turn and other Pokemon may attack the target's side normally. This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks. If the user is holding a Power Herb, the move completes in one turn."
"468","hone-claws","손톱갈기","hone-claws","dark","status","","","15","손톱을 갈아 날카롭게 한다. 자신의 공격과 명중률을 올린다.","Raises the user's Attack and accuracy by 1 stage."
"469","wide-guard","와이드가드","wide-guard","rock","status","","","10","같은 편 전원에게 향하는 공격을 1턴 동안 막는다. ","The user and its party members are protected from moves made by other Pokemon, including allies, during this turn that target all adjacent foes or all adjacent Pokemon. This move modifies the same 1/X chance of being successful used by other protection moves, where X starts at 1 and triples each time this move is successfully used, but does not use the chance to check for failure. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Burning Bulwark, Detect, Endure, King's Shield, Max Guard, Obstruct, Protect, Quick Guard, Silk Trap, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn or if this move is already in effect for the user's side."
"470","guard-split","가드셰어","guard-split","psychic","status","","","10","초능력으로 자신과 상대의 방어와 특수방어를 더해서 반으로 나눈다.","The user and the target have their Defense and Special Defense stats set to be equal to the average of the user and the target's Defense and Special Defense stats, respectively, rounded down. Stat stage changes are unaffected."
"471","power-split","파워셰어","power-split","psychic","status","","","10","초능력으로 자신과 상대의 공격과 특수공격을 더해서 반으로 나눈다.","The user and the target have their Attack and Special Attack stats set to be equal to the average of the user and the target's Attack and Special Attack stats, respectively, rounded down. Stat stage changes are unaffected."
"472","wonder-room","원더룸","wonder-room","psychic","status","","","10","이상한 공간을 만든다. 5턴 동안 모든 포켓몬의 방어와 특수방어가 바뀐다.","For 5 turns, all active Pokemon have their Defense and Special Defense stats swapped. Stat stage changes are unaffected. If this move is used during the effect, the effect ends."
"473","psyshock","사이코쇼크","psyshock","psychic","special","80","100","10","이상한 염력파를 실체화하여 상대를 공격한다. 물리적인 데미지를 준다.","Deals damage to the target based on its Defense instead of Special Defense."
"474","venoshock","베놈쇼크","venoshock","poison","special","65","100","10","특수한 독액을 끼얹는다. 독 상태의 상대에게는 위력이 2배가 된다.","Power doubles if the target is poisoned."
"475","autotomize","바디퍼지","autotomize","steel","status","","","15","몸의 쓸모없는 부분을 깎는다. 자신의 스피드를 크게 올리고 체중도 가벼워진다.","Raises the user's Speed by 2 stages. If the user's Speed was changed, the user's weight is reduced by 100 kg as long as it remains active. This effect is stackable but cannot reduce the user's weight to less than 0.1 kg."
"476","rage-powder","분노가루","rage-powder","bug","status","","","20","안절부절못하게 하는 가루를 자신에게 뿌려서 주의를 끈다. 상대의 공격은 모두 자신에게 향한다.","Until the end of the turn, all single-target attacks from the opposing side are redirected to the user. Such attacks are redirected to the user before they can be reflected by Magic Coat or the Magic Bounce Ability, or drawn in by the Lightning Rod or Storm Drain Abilities. Fails if it is not a Double Battle or Battle Royal. This effect is ignored while the user is under the effect of Sky Drop."
"477","telekinesis","텔레키네시스","telekinesis","psychic","status","","","15","초능력으로 상대를 띄운다. 3턴 동안 공격이 상대에게 맞기 쉬워진다.","For 3 turns, the target cannot avoid any attacks made against it, other than OHKO moves, as long as it remains active. During the effect, the target is immune to Ground-type attacks and the effects of Spikes, Toxic Spikes, Sticky Web, and the Arena Trap Ability as long as it remains active. If the target uses Baton Pass, the replacement will gain the effect. Ingrain, Smack Down, Thousand Arrows, and Iron Ball override this move if the target is under any of their effects. Fails if the target is already under this effect or the effects of Ingrain, Smack Down, or Thousand Arrows. The target is immune to this move on use if its species is Diglett, Dugtrio, Alolan Diglett, Alolan Dugtrio, Sandygast, Palossand, or Gengar while Mega-Evolved. Mega Gengar cannot be under this effect by any means."
"478","magic-room","매직룸","magic-room","psychic","status","","","10","이상한 공간을 만든다. 5턴 동안 모든 포켓몬의 도구의 효과가 사라진다.","For 5 turns, the held items of all active Pokemon have no effect. An item's effect of causing forme changes is unaffected, but any other effects from such items are negated. During the effect, Fling and Natural Gift are prevented from being used by all active Pokemon. If this move is used during the effect, the effect ends."
"479","smack-down","떨어뜨리기","smack-down","rock","physical","50","100","15","돌이나 구슬을 던져서 날고 있는 상대를 공격한다. 맞은 상대는 땅에 떨어진다.","This move can hit a target using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop. If this move hits a target under the effect of Bounce, Fly, Magnet Rise, or Telekinesis, the effect ends. If the target is a Flying type that has not used Roost this turn or a Pokemon with the Levitate Ability, it loses its immunity to Ground-type attacks and the Arena Trap Ability as long as it remains active. During the effect, Magnet Rise fails for the target and Telekinesis fails against the target."
"480","storm-throw","업어후리기","storm-throw","fighting","physical","60","100","10","강렬한 일격을 상대에게 날린다. 공격은 반드시 급소에 맞는다.","This move is always a critical hit unless the target is under the effect of Lucky Chant or has the Battle Armor or Shell Armor Abilities."
"481","flame-burst","불꽃튀기기","flame-burst","fire","special","70","100","15","맞으면 튀는 불꽃으로 상대를 공격한다. 튕긴 불꽃은 옆의 상대에게도 쏟아진다.","If this move is successful, the target's ally loses 1/16 of its maximum HP, rounded down, unless it has the Magic Guard Ability."
"482","sludge-wave","오물웨이브","sludge-wave","poison","special","95","100","10","오물 파도로 자신의 주위에 있는 포켓몬을 공격한다. 독 상태로 만들 때가 있다.","Has a 10% chance to poison the target."
"483","quiver-dance","나비춤","quiver-dance","bug","status","","","20","신비롭고 아름다운 춤을 경쾌하게 춘다. 자신의 특수공격과 특수방어와 스피드를 올린다.","Raises the user's Special Attack, Special Defense, and Speed by 1 stage."
"484","heavy-slam","헤비봄버","heavy-slam","steel","physical","","100","10","무거운 몸으로 상대에게 부딪쳐 공격한다. 자신이 상대보다 무거울수록 위력이 올라간다.","The power of this move depends on (user's weight / target's weight), rounded down. Power is equal to 120 if the result is 5 or more, 100 if 4, 80 if 3, 60 if 2, and 40 if 1 or less. Damage doubles and no accuracy check is done if the target has used Minimize while active."
"485","synchronoise","싱크로노이즈","synchronoise","psychic","special","120","100","10","이상한 전파로 주위에 있는 자신과 같은 타입의 포켓몬에게 데미지를 준다.","The target is immune if it does not share a type with the user."
"486","electro-ball","일렉트릭볼","electro-ball","electric","special","","100","10","전기 덩어리를 상대에게 부딪쳐서 공격한다. 상대보다 스피드가 빠를수록 위력이 올라간다.","The power of this move depends on (user's current Speed / target's current Speed), rounded down. Power is equal to 150 if the result is 4 or more, 120 if 3, 80 if 2, 60 if 1, 40 if less than 1. If the target's current Speed is 0, this move's power is 40."
"487","soak","물붓기","soak","water","status","","100","20","많은 물을 끼얹어서 상대를 물타입으로 바꾼다.","Causes the target to become a Water type. Fails if the target is an Arceus or a Silvally, if the target is already purely Water type, or if the target is Terastallized."
"488","flame-charge","니트로차지","flame-charge","fire","physical","50","100","20","불꽃을 둘러 상대를 공격한다. 힘을 모아서 자신의 스피드를 올린다.","Has a 100% chance to raise the user's Speed by 1 stage."
"489","coil","똬리틀기","coil","poison","status","","","20","똬리를 틀어서 집중한다. 자신의 공격과 방어와 명중률을 올린다.","Raises the user's Attack, Defense, and accuracy by 1 stage."
"490","low-sweep","로킥","low-sweep","fighting","physical","65","100","20","재빠른 움직임으로 상대의 다리를 노려 공격한다. 상대의 스피드를 떨어뜨린다.","Has a 100% chance to lower the target's Speed by 1 stage."
"491","acid-spray","애시드봄","acid-spray","poison","special","40","100","20","상대를 녹이는 액체를 토해내서 공격한다. 상대의 특수방어를 크게 떨어뜨린다.","Has a 100% chance to lower the target's Special Defense by 2 stages."
"492","foul-play","속임수","foul-play","dark","physical","95","100","15","상대의 힘을 이용한다. 싸우고 있는 상대의 공격이 높을수록 데미지가 올라간다.","Damage is calculated using the target's Attack stat, including stat stage changes. The user's Ability, item, and burn are used as normal."
"493","simple-beam","심플빔","simple-beam","normal","status","","100","15","수수께끼의 염력파를 상대에게 보낸다. 염력파를 받은 상대는 특성이 단순으로 바뀐다.","Causes the target's Ability to become Simple. Fails if the target's Ability is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Simple, Stance Change, Tera Shift, Truant, Zen Mode, or Zero to Hero."
"494","entrainment","동료만들기","entrainment","normal","status","","100","15","이상한 리듬으로 춤춘다. 움직임을 흉내 내게 해서 자신과 상대의 특성을 똑같게 만든다.","Causes the target's Ability to become the same as the user's. Fails if the target's Ability is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Stance Change, Tera Shift, Truant, Zen Mode, or Zero to Hero, or the same Ability as the user, or if the user's Ability is As One, Battle Bond, Comatose, Commander, Disguise, Embody Aspect, Flower Gift, Forecast, Hunger Switch, Ice Face, Illusion, Imposter, Multitype, Neutralizing Gas, Poison Puppeteer, Power Construct, Power of Alchemy, Protosynthesis, Quark Drive, Receiver, RKS System, Schooling, Shields Down, Stance Change, Tera Shell, Tera Shift, Teraform Zero, Trace, Wonder Guard, Zen Mode, or Zero to Hero."
"495","after-you","당신먼저","after-you","normal","status","","","15","상대의 행동을 도와서 자신이 행동한 뒤에 바로 움직일 수 있도록 한다.","The target makes its move immediately after the user this turn, no matter the priority of its selected move. Fails if the target would have moved next anyway, or if the target already moved this turn."
"496","round","돌림노래","round","normal","special","60","100","15","노래로 상대를 공격한다. 함께 돌림노래를 하면 계속해서 쓸 수 있고 위력도 올라간다.","If there are other active Pokemon that chose this move for use this turn, those Pokemon take their turn immediately after the user, in Speed order, and this move's power is 120 for each other user."
"497","echoed-voice","에코보이스","echoed-voice","normal","special","40","100","15","울리는 목소리로 상대를 공격한다. 매 턴 누군가 기술을 계속해서 쓰면 위력이 올라간다.","For every consecutive turn that this move is used by at least one Pokemon, this move's power is multiplied by the number of turns to pass, but not more than 5."
"498","chip-away","야금야금","chip-away","normal","physical","70","100","20","틈을 보며 착실하게 공격한다. 상대의 능력 변화에 관계없이 데미지를 준다.","Ignores the target's stat stage changes, including evasiveness."
"499","clear-smog","클리어스모그","clear-smog","poison","special","50","","15","특수한 진흙 덩어리를 상대에게 내던져서 공격한다. 능력 변화를 원래대로 돌린다.","Resets all of the target's stat stages to 0."
